Extract.Date,LA.Code,LA.Name,Breakdown.Field,Breakdown.Value,Patient.Count,LAD19NM,pop19,age65plus,pct_over65_18,RGN19CD,RGN19NM,Shielders_pct,rank_imd,decile_imd,quintile_imd,rank_income,decile_income,quintile_income
16/09/2020,E07000143,Breckland,ALL,ALL,5825,Breckland,139968,35131,25.0993084133516,E12000006,East of England,4.16166552354824,142,5,3,182,6,3
16/09/2020,E07000031,South Lakeland,ALL,ALL,4365,South Lakeland,105088,29936,28.4866017052375,E12000002,North West,4.15366169305725,250,8,4,286,10,5
16/09/2020,E07000040,East Devon,ALL,ALL,6070,East Devon,146284,44415,30.3621722129556,E12000009,South West,4.14946268901589,244,8,4,229,8,4
16/09/2020,E07000194,Lichfield,ALL,ALL,4345,Lichfield,104756,25192,24.0482645385467,E12000005,West Midlands,4.14773378135859,247,8,4,223,8,4
16/09/2020,E07000081,Gloucester,ALL,ALL,5330,Gloucester,129128,21824,16.9010594139149,E12000009,South West,4.12768725605601,118,4,2,116,4,2
16/09/2020,E07000088,Gosport,ALL,ALL,3500,Gosport,84838,17320,20.4153799005163,E12000008,South East,4.12550979513897,133,5,3,165,6,3
16/09/2020,E07000099,North Hertfordshire,ALL,ALL,5490,North Hertfordshire,133570,25661,19.2116493224526,E12000006,East of England,4.1102043872127,270,9,5,237,8,4
16/09/2020,E09000004,Bexley,ALL,ALL,10195,Bexley,248287,40968,16.5002597800127,E12000007,London,4.10613523865527,187,6,3,170,6,3
16/09/2020,E06000026,Plymouth,ALL,ALL,10730,Plymouth,262100,48530,18.5158336512781,E12000009,South West,4.09385730637161,64,2,1,76,3,2
16/09/2020,E07000011,Huntingdonshire,ALL,ALL,7285,Huntingdonshire,177963,35941,20.195771031057,E12000006,East of England,4.0935475351618,248,8,4,252,8,4
16/09/2020,E08000004,Oldham,ALL,ALL,9705,Oldham,237110,38312,16.1579013959766,E12000002,North West,4.09303698705242,19,1,1,21,1,1
16/09/2020,E07000109,Gravesham,ALL,ALL,4365,Gravesham,106939,18555,17.351013194438,E12000008,South East,4.08176624056705,123,4,2,127,4,2
16/09/2020,E07000089,Hart,ALL,ALL,3945,Hart,97073,19275,19.8561907018429,E12000008,South East,4.06395187127214,317,10,5,316,10,5
16/09/2020,E06000012,North East Lincolnshire,ALL,ALL,6470,North East Lincolnshire,159563,32871,20.6006404993639,E12000003,Yorkshire and The Humber,4.05482474007132,29,1,1,26,1,1
16/09/2020,E06000050,Cheshire West and Chester,ALL,ALL,13895,Cheshire West and Chester,343071,74192,21.6258442130055,E12000002,North West,4.05018203229069,161,6,3,159,5,3
16/09/2020,E07000168,Scarborough,ALL,ALL,4395,Scarborough,108757,29940,27.5292624842539,E12000003,Yorkshire and The Humber,4.04111919232785,69,3,2,81,3,2
16/09/2020,E07000148,Norwich,ALL,ALL,5680,Norwich,140573,21245,15.1131440603814,E12000006,East of England,4.04060523713658,52,2,1,52,2,1
16/09/2020,E08000019,Sheffield,ALL,ALL,23625,Sheffield,584853,94440,16.1476473575411,E12000003,Yorkshire and The Humber,4.03947658642428,57,2,1,62,2,1
16/09/2020,E07000067,Braintree,ALL,ALL,6155,Braintree,152604,31099,20.3788891510052,E12000006,East of England,4.03331498519043,211,7,4,202,7,4
16/09/2020,E07000113,Swale,ALL,ALL,6040,Swale,150082,28844,19.2188270412175,E12000008,South East,4.02446662491171,56,2,1,74,3,2
16/09/2020,E07000072,Epping Forest,ALL,ALL,5295,Epping Forest,131689,25939,19.6971652909507,E12000006,East of England,4.02083697195666,205,7,4,209,7,4
16/09/2020,E07000026,Allerdale,ALL,ALL,3930,Allerdale,97761,24154,24.707194075347,E12000002,North West,4.02000797864179,104,4,2,131,5,3
16/09/2020,E07000082,Stroud,ALL,ALL,4820,Stroud,119964,27112,22.6001133673435,E12000009,South West,4.01787202827515,280,9,5,243,8,4
16/09/2020,E06000045,Southampton,ALL,ALL,10130,Southampton,252520,33873,13.4139870109298,E12000008,South East,4.01156344051956,61,2,1,100,4,2
16/09/2020,E07000012,South Cambridgeshire,ALL,ALL,6375,South Cambridgeshire,159086,31184,19.6019762895541,E12000006,East of England,4.00726650993802,301,10,5,304,10,5
16/09/2020,E07000223,Adur,ALL,ALL,2565,Adur,64301,15136,23.5392917684017,E12000008,South East,3.98905149220074,169,6,3,163,6,3
16/09/2020,E08000033,Calderdale,ALL,ALL,8430,Calderdale,211455,39755,18.8006904542338,E12000003,Yorkshire and The Humber,3.98666382918351,66,3,2,75,3,2
16/09/2020,E06000059,Dorset,ALL,ALL,15055,Dorset,378508,110049,29.074418506346,E12000009,South West,3.97745886480603,199,7,4,212,7,4
16/09/2020,E07000246,Somerset West and Taunton,ALL,ALL,6155,Somerset West and Taunton,155115,40138,25.8762853366857,E12000009,South West,3.96802372433356,146,5,3,173,6,3
16/09/2020,E07000150,Corby,ALL,ALL,2860,Corby,72218,10249,14.1917527486222,E12000004,East Midlands,3.9602315212274,76,3,2,98,4,2
16/09/2020,E07000064,Rother,ALL,ALL,3790,Rother,96080,30886,32.1461282264779,E12000008,South East,3.94462947543714,139,5,3,143,5,3
16/09/2020,E06000013,North Lincolnshire,ALL,ALL,6790,North Lincolnshire,172292,36656,21.2755090195714,E12000003,Yorkshire and The Humber,3.94098391103476,115,4,2,106,4,2
16/09/2020,E07000175,Newark and Sherwood,ALL,ALL,4820,Newark and Sherwood,122421,27086,22.1252889618611,E12000004,East Midlands,3.93723299107179,145,5,3,157,5,3
16/09/2020,E07000079,Cotswold,ALL,ALL,3515,Cotswold,89862,23231,25.8518617435624,E12000009,South West,3.91155327057043,277,9,5,284,9,5
16/09/2020,E06000007,Warrington,ALL,ALL,8205,Warrington,210014,39645,18.877312941042,E12000002,North West,3.9068823983163,148,5,3,154,5,3
16/09/2020,E07000242,East Hertfordshire,ALL,ALL,5850,East Hertfordshire,149748,27155,18.1337981141651,E12000006,East of England,3.90656302588348,307,10,5,289,10,5
16/09/2020,E07000037,High Peak,ALL,ALL,3620,High Peak,92666,19764,21.3282109943237,E12000004,East Midlands,3.90650292448147,201,7,4,189,6,3
16/09/2020,E07000198,Staffordshire Moorlands,ALL,ALL,3845,Staffordshire Moorlands,98435,24815,25.2095291308986,E12000005,West Midlands,3.90613094935744,206,7,4,221,7,4
16/09/2020,E06000033,Southend-on-Sea,ALL,ALL,7135,Southend-on-Sea,183125,35625,19.4539249146758,E12000006,East of England,3.8962457337884,110,4,2,85,3,2
16/09/2020,E08000036,Wakefield,ALL,ALL,13555,Wakefield,348312,66276,19.0277682078137,E12000003,Yorkshire and The Humber,3.89162589861963,54,2,1,79,3,2
16/09/2020,E07000120,Hyndburn,ALL,ALL,3145,Hyndburn,81043,14986,18.4914181360512,E12000002,North West,3.88065594807695,16,1,1,33,2,1
16/09/2020,E07000188,Sedgemoor,ALL,ALL,4735,Sedgemoor,123178,29473,23.9271623179464,E12000009,South West,3.84403058987806,125,4,2,136,5,3
16/09/2020,E08000028,Sandwell,ALL,ALL,12625,Sandwell,328450,49369,15.0309027249201,E12000005,West Midlands,3.84381184350738,12,1,1,9,1,1
16/09/2020,E08000027,Dudley,ALL,ALL,12355,Dudley,321596,65602,20.3988855582781,E12000005,West Midlands,3.84177663901292,91,3,2,60,2,1
16/09/2020,E08000007,Stockport,ALL,ALL,11220,Stockport,293423,58726,20.0141093234,E12000002,North West,3.82383112434949,130,5,3,135,5,3
16/09/2020,E09000002,Barking and Dagenham,ALL,ALL,8105,Barking and Dagenham,212906,19780,9.29048500277118,E12000007,London,3.80684433505866,21,1,1,20,1,1
16/09/2020,E06000058,"Bournemouth, Christchurch and Poole",ALL,ALL,15045,"Bournemouth, Christchurch and Poole",395331,86297,21.829049581237,E12000009,South West,3.80567170295272,160,6,3,146,5,3
16/09/2020,E08000009,Trafford,ALL,ALL,8985,Trafford,237354,41183,17.3508767494965,E12000002,North West,3.78548497181425,191,7,4,166,6,3
16/09/2020,E07000151,Daventry,ALL,ALL,3245,Daventry,85950,17684,20.5747527632344,E12000004,East Midlands,3.77545084351367,238,8,4,257,9,5
16/09/2020,E07000119,Fylde,ALL,ALL,3045,Fylde,80780,22282,27.5835602871998,E12000002,North West,3.76949740034662,195,7,4,192,7,4
16/09/2020,E07000062,Hastings,ALL,ALL,3490,Hastings,92661,18843,20.3354161945155,E12000008,South East,3.76641737084642,17,1,1,14,1,1
16/09/2020,E06000016,Leicester,ALL,ALL,13315,Leicester,354224,43121,12.1733705226072,E12000004,East Midlands,3.75892090880347,32,1,1,18,1,1
16/09/2020,E07000009,East Cambridgeshire,ALL,ALL,3375,East Cambridgeshire,89840,18340,20.4140694568121,E12000006,East of England,3.756678539626,272,9,5,267,9,5
16/09/2020,E06000046,Isle of Wight,ALL,ALL,5325,Isle of Wight,141771,40186,28.3457124517708,E12000008,South East,3.75605730367988,98,4,2,96,4,2
16/09/2020,E07000121,Lancaster,ALL,ALL,5485,Lancaster,146038,29106,19.9304290664074,E12000002,North West,3.75587175940509,89,3,2,110,4,2
16/09/2020,E07000042,Mid Devon,ALL,ALL,3085,Mid Devon,82311,19383,23.5484929110325,E12000009,South West,3.74798022135559,176,6,3,200,7,4
16/09/2020,E07000105,Ashford,ALL,ALL,4860,Ashford,130032,25278,19.4398301956442,E12000008,South East,3.7375415282392,158,5,3,150,5,3
16/09/2020,E06000025,South Gloucestershire,ALL,ALL,10645,South Gloucestershire,285093,53697,18.8349065041934,E12000009,South West,3.73386929879022,269,9,5,253,8,4
16/09/2020,E07000111,Sevenoaks,ALL,ALL,4500,Sevenoaks,120750,26098,21.6132505175983,E12000008,South East,3.72670807453416,251,8,4,251,8,4
16/09/2020,E07000035,Derbyshire Dales,ALL,ALL,2695,Derbyshire Dales,72325,19680,27.2105081230557,E12000004,East Midlands,3.72623574144487,263,9,5,270,9,5
16/09/2020,E07000154,Northampton,ALL,ALL,8365,Northampton,224610,34867,15.5233515871956,E12000004,East Midlands,3.72423311517742,97,4,2,124,4,2
16/09/2020,E07000034,Chesterfield,ALL,ALL,3905,Chesterfield,104900,22253,21.2135367016206,E12000004,East Midlands,3.72259294566254,87,3,2,71,3,2
16/09/2020,E07000219,Nuneaton and Bedworth,ALL,ALL,4830,Nuneaton and Bedworth,129883,25057,19.2919781649639,E12000005,West Midlands,3.71873147371096,96,4,2,99,4,2
16/09/2020,E07000135,Oadby and Wigston,ALL,ALL,2120,Oadby and Wigston,57015,12362,21.6820135052179,E12000004,East Midlands,3.71831974041919,242,8,4,216,7,4
16/09/2020,E07000044,South Hams,ALL,ALL,3235,South Hams,87004,24584,28.256172130017,E12000009,South West,3.71821985196083,229,8,4,213,7,4
16/09/2020,E07000192,Cannock Chase,ALL,ALL,3745,Cannock Chase,100762,19339,19.1927512355848,E12000005,West Midlands,3.71667890673071,134,5,3,114,4,2
16/09/2020,E07000221,Stratford-on-Avon,ALL,ALL,4830,Stratford-on-Avon,130098,33141,25.4738735414841,E12000005,West Midlands,3.7125858967855,266,9,5,269,9,5
16/09/2020,E07000122,Pendle,ALL,ALL,3415,Pendle,92112,17210,18.6837762723641,E12000002,North West,3.70744311273233,33,2,1,46,2,1
16/09/2020,E09000020,Kensington and Chelsea,ALL,ALL,5785,Kensington and Chelsea,156129,25049,16.043784306567,E12000007,London,3.70526936059284,121,4,2,137,5,3
